Page & Line,Quote,Author_or_coder_name,Coding date,Sender,Receiver,Stand,Role,Tone
 Page # 3 - Starting line # 33,third fundamental fact a U.S. departure from Afghanistan without a peace deal would likely result in a protracted and intensified civil war in which many Afghans would suffer ,redacted,29/08/2021,Laurel,Afghanistan_will_fall_without_US,Prepare to leave,"Director, International Crisis Institute",Cautious
 Page # 3 - Starting line # 35,the conditions for a peace deal are only going to worsen they're not going to improve and so uh the suggestions that some have made and i don't mean Michael here that uh that one should go slow in a peace process is not something that i would recommend because you're not going to get a better peace deal tomorrow next month next year or 10 years from now,redacted,29/08/2021,Laurel,peace_prospects_will_only_worsen,Prepare to leave,"Director, International Crisis Institute",Realistic
 Page # 4 - Starting line # 1,U.S. should continue to pursue a peace deal as it has been doing over the last year and a half but at the same time recognizing that any plausible deal that would result will inevitably legitimize the Taliban politically and give them a major share of power Afghans are going to have a broad set of goals no doubt in any peace negotiation,redacted,29/08/2021,Laurel,patience_remainig_present,Prepare to leave,"Director, International Crisis Institute",Strategic
 Page # 4 - Starting line # 2,that any plausible deal that would result will inevitably legitimize the Taliban politically and give them a major share of power Afghans are going to have a broad set of goals no doubt in any peace negotiation,redacted,29/08/2021,Laurel,during_negotiation_Taliban_may_gain_legitimacy,Prepare to leave,"Director, International Crisis Institute",Critical
 Page # 4 - Starting line # 5,hopefully there's one that will be starting in just a few days from now in Doha but the U.S. goals i think need to be limited specifically to getting a cessation of hostilities and to getting a new set of governing arrangements in Afghanistan that are agreeable to Afghans and that can hold together unified security forces anything ,redacted,30/08/2021,Laurel,points_for_negotiation,Prepare to leave,"Director, International Crisis Institute",Strategic
 Page # 4 - Starting line # 9,U.S. policy also needs to accept that there is no long-term future for U.S. military forces in Afghanistan,redacted,30/08/2021,Laurel,not_long_term_future_US_Afghanistan,Prepare to leave,"Director, International Crisis Institute",Realistic
 Page # 4 - Starting line # 11,if the peace effort fails and the US military stays anyway then it will be back to fighting the Taliban in a war without foreseeable end and in partnership with an increasingly fragile government in Kabul uh i would agree with mike from a technical literal standpoint that four to five thousand U.S. forces is sustainable in the sense of being affordable by the us but i don't think it's a sustainable scenario for the us to keep those forces,redacted,30/08/2021,Laurel,Afghanistan_will_fall_without_US,Prepare to leave,"Director, International Crisis Institute",Realistic
 Page # 4 - Starting line # 14,"four to five thousand U.S. forces is sustainable in the sense of being affordable by the us but i don't think it's a sustainable scenario for the us to keep those forces, forces at that level in Afghanistan indefinitely which would mean perpetuating indefinitely a war which is seeing the Taliban as ascendant an ascendance that i a trajectory of a sentence that i think would continue moreover",redacted,30/08/2021,Laurel,not_long_term_future_US_Afghanistan,Short term stay,"Director, International Crisis Institute",Critical
 Page # 4 - Starting line # 18,i think it's important not to look at sustainability only from the perspective of affordability by the us sustainability also has to be considered from an Afghan perspective and Afghan losses and erosion of their capabilities is continuing to increase at record levels now if ,redacted,30/08/2021,Laurel,affordability_of_US_presence_not_sustainable_for_Afghans,Short term stay,"Director, International Crisis Institute",Critical
 Page # 4 - Starting line # 21,the peace effort does succeed then i think there's little to no chance that the Taliban as well as many other Afghans who don't associate themselves with the Taliban would agree to the continued presence of foreign forces on Afghan soil and that's the second reason why i don't see the there being a long-term future for U.S. forces in Afghanistan,redacted,30/08/2021,Laurel,not_long_term_future_US_Afghanistan,Prepare to leave,"Director, International Crisis Institute",Realistic
 Page # 4 - Starting line # 24,third is that all of the important countries in the region except for India oppose the idea of an indefinite U.S. military presence in what they see as their backyard this includes China Russia Iran and with some complications Pakistan that opposition particularly on the part of Iran China Russia could become active over time if the U.S. looked like it was proposing to stay indefinitely in Afghanistan,redacted,30/08/2021,Laurel,countries_in_region_oppose_US_presence,Short term stay,"Director, International Crisis Institute",Realistic
 Page # 4 - Starting line # 29,i don't think there's endless amounts of time for the U.S. to continue to maintain a troop presence at this four to five thousand level while peace negotiations are being pursued first of all it's important to recognize that the U.S. did agree in the agreement that it signed with the Taliban February 29th in Doha that it would completely remove U.S. forces and NATO forces from Afghanistan by sometime next may ,redacted,30/08/2021,Laurel,US_agreed_remove_forces_May_2021,Short term stay,"Director, International Crisis Institute",Realistic
 Page # 4 - Starting line # 33,now none of the deadlines in that agreement have held and i don't think that agreement needs to hold absolutely but i don't think that it's a matter of years beyond that deadline of may 2021 to either get a peace deal and get out with a deal or get out without a peace deal i think it's a matter of some months perhaps beyond that of of wiggle room ,redacted,30/08/2021,Laurel,some_wiggle_room_but_not_years,Short term stay,"Director, International Crisis Institute",Strategic
 Page # 4 - Starting line # 37,US needs to focus in its policy development on options for pursuing its counterterrorism interests from outside Afghan territory and we can get into that a bit later if if there's time i don't think this is a policy proposal that means the U.S. abandoning Afghanistan,redacted,30/08/2021,Laurel,US_focus_counterterrorism,Short term stay,"Director, International Crisis Institute",Strategic
 Page # 4 - Starting line # 40,the U.S. should continue to provide development assistance and it should to the extent acceptable to Afghans continue to provide security assistance to Afghanistan um on the basis of a political settlement ,redacted,30/08/2021,Laurel,keep_aid_flowing,Remain present,"Director, International Crisis Institute",Strategic
 Page # 5 - Starting line # 42,Afghan leaders on both sides of the conflict recognize very well that their country is extraordinarily dependent on external resources and they welcome including the Taliban has welcomed a continued relationship with the U.S.,redacted,30/08/2021,Laurel,Afghanistan_will_fall_without_US,Remain present,"Director, International Crisis Institute",Realistic
 Page # 5 - Starting line # 2,i am suggesting a kind of policy that would have the U.S. normalizing its relationship with Afghanistan by moving away from a posture of propping up a government that has not proven to be self-sustaining,redacted,30/08/2021,Laurel,US_failed_to_ensure_Afghan_self-sustainable_government,Remain present,"Director, International Crisis Institute",Critical
